shot_id	in	out	transition_in	audio
010_dawn_shore	00:00:00.000	00:00:07.792	none	narration:010_dawn_shore.wav
020_circus_on_the_bluff	00:00:07.292	00:00:15.583	crossfade(0.50s)	narration:020_circus_on_the_bluff.wav
030_skat_and_plog	00:00:15.083	00:00:24.292	crossfade(0.50s)	narration:030_skat_and_plog.wav
040_jof_watches	00:00:23.792	00:00:30.708	crossfade(0.50s)	narration:040_jof_watches.wav
050_antonius_alone	00:00:30.208	00:00:38.083	crossfade(0.50s)	narration:050_antonius_alone.wav
060_death_arrives	00:00:37.583	00:00:43.583	crossfade(0.50s)	narration:060_death_arrives.wav
070_face_off	00:00:43.083	00:00:53.750	crossfade(0.50s)	narration:070_face_off.wav
080_cards_fanned	00:00:53.250	00:01:02.708	crossfade(0.50s)	narration:080_cards_fanned.wav
090_death_considers	00:01:02.208	00:01:11.042	crossfade(0.50s)	narration:090_death_considers.wav
100_first_hand	00:01:10.542	00:01:16.833	crossfade(0.50s)	narration:100_first_hand.wav
110_forty_one_losses	00:01:16.333	00:01:27.167	crossfade(0.50s)	narration:110_forty_one_losses.wav
120_stay_granted	00:01:26.667	00:01:38.875	crossfade(0.50s)	narration:120_stay_granted.wav
130_tent_exterior	00:01:38.875	00:01:49.292	hard	narration:130_tent_exterior.wav
140_jons_at_table	00:01:48.792	00:01:55.792	crossfade(0.50s)	narration:140_jons_at_table.wav
150_raval_and_gunnar	00:01:55.292	00:02:03.458	crossfade(0.50s)	narration:150_raval_and_gunnar.wav
160_disguised_patron	00:02:02.958	00:02:08.958	crossfade(0.50s)	narration:160_disguised_patron.wav
170_jons_reads_crowd	00:02:08.458	00:02:18.375	crossfade(0.50s)	narration:170_jons_reads_crowd.wav
180_jons_reads_death	00:02:17.875	00:02:24.875	crossfade(0.50s)	narration:180_jons_reads_death.wav
190_the_reading	00:02:24.375	00:02:36.667	crossfade(0.50s)	narration:190_the_reading.wav
200_death_sniffles	00:02:36.167	00:02:41.750	crossfade(0.50s)	narration:200_death_sniffles.wav
210_gunnar_suggests	00:02:41.250	00:02:53.833	crossfade(0.50s)	narration:210_gunnar_suggests.wav
220_manhattan_skyline	00:02:53.833	00:03:03.750	hard	narration:220_manhattan_skyline.wav
230_office_exterior	00:03:03.250	00:03:10.792	crossfade(0.50s)	narration:230_office_exterior.wav
240_selkirk_at_desk	00:03:10.292	00:03:22.083	crossfade(0.50s)	narration:240_selkirk_at_desk.wav
250_death_on_couch	00:03:21.583	00:03:29.583	crossfade(0.50s)	narration:250_death_on_couch.wav
260_vignette_anhedonia	00:03:29.083	00:03:38.833	crossfade(0.50s)	narration:260_vignette_anhedonia.wav
270_vignette_burnout	00:03:38.333	00:03:49.417	crossfade(0.50s)	narration:270_vignette_burnout.wav
280_vignette_grandiosity	00:03:48.917	00:04:00.208	crossfade(0.50s)	narration:280_vignette_grandiosity.wav
290_reschedule_a_death	00:03:59.708	00:04:08.750	crossfade(0.50s)	narration:290_reschedule_a_death.wav
300_selkirks_notes	00:04:08.250	00:04:20.792	crossfade(0.50s)	narration:300_selkirks_notes.wav
310_turning_the_tables	00:04:20.292	00:04:34.833	crossfade(0.50s)	narration:310_turning_the_tables.wav
320_telegram	00:04:34.833	00:04:42.625	hard	narration:320_telegram.wav
330_atlantic_crossing	00:04:42.125	00:04:51.125	crossfade(0.50s)	narration:330_atlantic_crossing.wav
340_rocks_arrival	00:04:50.625	00:04:58.625	crossfade(0.50s)	narration:340_rocks_arrival.wav
350_cream_and_herring	00:04:58.125	00:05:05.208	crossfade(0.50s)	narration:350_cream_and_herring.wav
360_strawberries_scene	00:05:04.708	00:05:14.625	crossfade(0.50s)	narration:360_strawberries_scene.wav
370_headland_last_light	00:05:14.625	00:05:21.625	hard	narration:370_headland_last_light.wav
380_death_hesitates	00:05:21.125	00:05:29.917	crossfade(0.50s)	narration:380_death_hesitates.wav
390_the_palm	00:05:29.417	00:05:34.417	crossfade(0.50s)	narration:390_the_palm.wav
400_hourglass_passed	00:05:33.917	00:05:43.125	crossfade(0.50s)	narration:400_hourglass_passed.wav
410_hourglass_to_sea	00:05:42.625	00:05:48.625	crossfade(0.50s)	narration:410_hourglass_to_sea.wav
420_termination_session	00:05:48.125	00:05:56.708	crossfade(0.50s)	narration:420_termination_session.wav
430_dawn_ridge_silhouettes	00:05:56.208	00:06:03.583	crossfade(0.50s)	narration:430_dawn_ridge_silhouettes.wav
440_conga_line	00:06:03.083	00:06:11.667	crossfade(0.50s)	narration:440_conga_line.wav
450_selkirk_writes	00:06:11.167	00:06:21.833	crossfade(0.50s)	narration:450_selkirk_writes.wav
